,abstract_no,sentence
9878,1070,"After reviewing in detail the cutaneous manifestations of the most frequent inflammatory rheumatic diseases, we describe a topographic and morphological approach to skin rashes, calling attention to facial rashes, hand involvement, scalp, nail, or leg lesions or to some morphological aspects of skin lesions (annular, pustular, urticarial, or exanthematous) that may be the initial manifestations of inflammatory rheumatic diseases."
9879,1070,The importance of skin lesions is confirmed by their presence as part of the classification criteria of many inflammatory rheumatic diseases.
9880,1070,"They also contribute to early diagnosis, to characterize disease phenotypes, to aid in effective patient management, and, ultimately, to impact on disease prognosis."
9881,1071,Abstract Objective.
9882,1071,To assess the efficacy and safety of abatacept for secondary Sjgren's syndrome (SS) associated with rheumatoid arthritis (RA).
9883,1071,Methods.
9884,1071,"The primary endpoint of this 1-year, open-labeled, prospective, observational multicenter study of RA-associated secondary SS was the rate of SDAI remission at 52 weeks after initiation of abatacept therapy."
9885,1071,The secondary endpoints included that of Saxson's test and Schirmer's test.
9886,1071,Adverse events during the study period were also analyzed.
9887,1071,Results.
9888,1071,Thirty-two patients (all females) were enrolled in this study.
9889,1071,Interim analysis at 24 weeks included assessment of efficacy (n = 31) and safety (n = 32).
9890,1071,The mean SDAI decreased from 19.8  11.0 ( SD) at baseline to 9.9  9.9 at 24 weeks (P < 0.05).
9891,1071,"Patients with clinical remission, as assessed by SDAI, increased from 0 patient (0 week) to 8 patients (25.8%) at 24 weeks."
9892,1071,Saliva volume (assessed by Saxson's test) increased slightly from 2232  1908 (0 week) to 2424  2004 (24 weeks) mg/2 min (n = 29).
9893,1071,"In 11 patients with Greenspan grading 1/2 of labial salivary glands biopsy, saliva volume increased from 2945  2090 (0 week) to 3419  2121 (24 weeks) mg/2 min (P < 0.05)."
9894,1071,Schirmer's test for tear volume showed increase from 3.6  4.6 (0 week) to 5.5  7.1 (24 weeks) mm/5 min (n = 25; P < 0.05).
9895,1071,"Five adverse events occurred in five of 32 patients (15.6%), and three of these events were infections."
9896,1071,Conclusion.
9897,1071,Abatacept seems to be effective for both RA and RA-related secondary SS.
9898,1072,Mucosa-associated lymphoid tissue (MALT) lymphoma arising from the thymus is extremely rare.
9899,1072,Only 33 cases of thymic MALT lymphoma have been reported to date.
9900,1072,We present the case of a 53-year-old Japanese woman with Sjgren's syndrome who was diagnosed with thymic MALT lymphoma.
9901,1072,"In addition, the patient had the characteristic clinical and pathological features of thymic MALT lymphoma, as found in most of the 33 previous cases, except that there was an immunoglobulin G (IgG) phenotype, i.e."
9902,1072,"Sjgren's syndrome, epithelial cysts, lymphoepithelial lesions, and marked plasmacytic differentiation."
9903,1072,The serum IgA levels were also elevated with IgA kappa M protein.
9904,1072,This hypergammaglobulinemia remained unchanged after operation.
9905,1072,The serological abnormalities may not arise from MALT lymphoma itself and may arise from the immune system hyper-reactivity evoked by Sjgren's syndrome.
9906,1072,Of further interest were marked accumulations of CD68-positive histiocytes containing abundant eosinophilic globular inclusions in their cytoplasm.
9907,1072,"These inclusions were immunopositive for IgG-kappa, suggesting immunoglobulin inclusion bodies."
9908,1072,The globular immunoglobulin inclusion bodies have been reported in non-crystallized immunoglobulin-storing histiocytosis in only one patient with multiple myeloma.
9909,1072,"To our knowledge, this is the first case of thymic MALT lymphoma with marked accumulation of histiocytes with immunoglobulin inclusions in a patient with Sjgren's syndrome."
9910,1073,"OBJECTIVES: To investigate the differential expression of miR-17-92 cluster, which encodes 6 microRNAs (miR-NAs) including miR-17, miR-18a, miR-19a, miR-19b, miR-20a and miR-92a, among varying histological stages of labial minor salivary gland (MSG) tis- sues in patients with primary Sjgren's syndrome (pSS)."
9911,1073,METHODS: Fifty-seven pSS patients and 13 healthy volunteers were enrolled in this study.
9912,1073,The pSS patients were allocated to 3 subgroups of advanced clinical stages according to the histological findings of the MSG biopsies.
9913,1073,"Salivary flow rate, Schirmer test and some laboratory indexes were also tested."
9914,1073,The expression levels of the 6 miRNAs in MSG were evaluated using quantitative real-time polymerase chain reaction with TaqMan miRNA assay.
9915,1073,"RESULTS: The differences between the healthy individuals and the 3 pSS subgroups were statistically significant for positive findings of salivary flow rate, Schirmer test and laboratory indexes."
9916,1073,"In the labial MSG tissues, we observed that the expression level of miR-18a was significantly up-regulated in patients of the 3 pSS subgroups compared to healthy individuals, while the expression level of miR-92a was significantly down-regulated."
9917,1073,"We also observed that there was no notable difference in the expression levels of miR-17, miR-19a, miR-19b, and miR-20a."
9918,1073,"Furthermore, we distinguished that miR-18a was progressively up-regulated along the advanced histological stages of the 3 pSS subgroups, while the miR-92a was progressively down-regulated."
9919,1073,CONCLUDIONS: This is the first study on the expression of the miR-17-92 cluster in MSG of pSS patients.
9920,1073,The association of increased expression levels of miR-18a and reduced expression levels of miR-92a with advanced clinical stages of pSS could significantly reduce the substantial subjectivity of scoring inflammatory infiltrates and may aid in the diagnosis of pSS.
9921,1074,OBJECTIVE: SS is an autoimmune disease characterized by salivary and lacrimal gland dysfunction leading to dry mouth (xerostomia) and dry eyes (xerophthalmia).
9922,1074,Anti-muscarinic acetylcholine type-3 receptor (anti-M3R) autoantibodies have been shown to be a good serum marker in primary SS (pSS).
9923,1074,The aim of this study was to assess the clinical correlations of anti-M3R-derived peptide antibodies in patients with pSS.
9924,1074,METHODS: Sequences of the first to fourth cycle-M3R (c1M3R-c4M3R)-derived peptide was synthesized by a solid-phase technique on an Applied Biosytems Peptide Synthesizer.
9925,1074,Synthesized cM3R peptide (cM3RP) was used as substrate in an ELISA to detect IgG anti-cM3RP antibodies in serum samples of patients and controls.
9926,1074,The clinical and biological parameters of the diseases were also evaluated.
9927,1074,The EULAR SS disease activity index (ESSDAI) score was used to measure disease activity in patients with primary SS.
9928,1074,"RESULTS: (i) Anti-c2M3RP antibodies were highly prevalent in pSS patients, and the titre is much higher than anti-c1,3,4M3RP antibodies."
9929,1074,"(ii) The prevalence of anti-c2M3RP antibodies in pSS, SLE, RA and healthy controls was 62.2, 7.1, 5.3 and 1.6%, respectively."
9930,1074,"The prevalence of anti-linear-2-M3RP antibodies in pSS, SLE and RA patients and healthy controls were 56.1, 20.0, 14.7 and 9.4%."
9931,1074,"(iii) The specificity of anti-c2M3RP antibodies was 95.1%, much higher than that of linear polypeptide (84.7%) for pSS diagnosis."
9932,1074,"(iv) In pSS patients, anti-c2M3RP positivity had significantly increased frequency in patients who were RF or ANA positive, and had several haematological abnormalities, such as leucopenia, anaemia and thrombocytopenia."
9933,1074,"Furthermore, the ESSDAI score was significantly higher in anti-c2M3RP-positive pSS patients (P< 0.05)."
9934,1074,CONCLUSION: Anti-c2M3RP antibody was highly specific for patients with pSS.
9935,1074,The presence of anti-c2M3RP antibody in pSS indicates that c2M3RP may act as an autoantigen that may play a role in the pathogenesis of pSS.
9936,1075,Sjgren's syndrome (SS) is an autoimmune disease characterized by lymphocytic infiltration and destruction of salivary and lacrimal glands.
9937,1075,The diagnosis of SS can be challenging due to lack of a specific test for the disease.
9938,1075,The purpose of this study is to examine the accuracy of using gene expression profile for diagnosis of SS.
9939,1075,We identified 9 publically available datasets that included gene expression data from saliva and salivary gland biopsy samples of 52 patients with SS and 51 controls.
9940,1075,"Out of these datasets, we compiled and pooled data from three datasets that included 37 and 29 samples from SS patients and healthy controls, respectively, which were designated as ""training set."""
9941,1075,"Then, we performed cross-listing in a group of independent gene expression datasets from patients with SS to identify consensus gene list of differentially expressed genes."
9942,1075,"We performed Linear Discriminant Analysis (LDA) to quantify the accuracy of discriminating genes to predict SS in both the ""training set"" and an independent group of datasets that was designated as ""test set."""
9943,1075,We identified 55 genes as potential classifier genes to differentiate SS from healthy controls.
9944,1075,"An LDA by leave-one-out cross-validation method identified 19 genes (EPSTI1, IFI44, IFI44L, IFIT1, IFIT2, IFIT3, MX1, OAS1, SAMD9L, PSMB9, STAT1, HERC5, EV12B, CD53, SELL, HLA-DQA1, PTPRC, B2M, and TAP2) with highest classification accuracy rate (95.7 %)."
9945,1075,"Moreover, we validated our results by reproducing the same gene expression profile as a discriminatory test in the ""test set,"" which included data from salivary gland samples of 15 patients with SS and 22 controls with 94.6 % accuracy."
9946,1075,We propose that gene expression profile in the saliva or salivary glands could represent a promising simple and reproducible diagnostic biomarker for SS.
9947,1076,PURPOSE: To define a combination of the Schirmer I and phenol red thread (PRT) tests that improves the screening of patients with ocular sicca syndrome.
9948,1076,"METHODS: The PRT test was performed before (PRT1) and after (PRT2) the Schirmer I test, in both eyes of 143 patients complaining of ocular dryness secondary to Sjgren's syndrome or sicca asthenia polyalgia syndrome (SAPS; 72 and 71 patients, respectively), and in 40 control patients."
9949,1076,Groups were matched by age and sex.
9950,1076,"After determining the best cutoff values using the receiver operating characteristic procedure, several combinations of PRT and Schirmer I were assessed to improve the predictive values of the procedure."
9951,1076,"RESULTS: The best cutoff value for PRT2, estimated at 15 mm, provided a satisfying match between sensitivity and specificity indexes (68% and 90%, respectively), similar to those obtained with the Schirmer I test."
9952,1076,"If PRT1 alone was ineffective to screen SGS from control patients, the comparison between PRT1 and PRT2 (so-called ""DeltaPRT"") was found as a good marker to detect patients with persistent tear reflex."
9953,1076,"Interestingly, the combination of positive Schirmer I, PRT 2, and/or PRT tests was found to be highly predictive of severe ocular sicca syndrome."
9954,1076,CONCLUSIONS: The combination of the Schirmer I and PRT tests strongly improves the screening procedure to detect patients with ocular dryness related to Sjgren's syndrome or SAPS.
9955,1076,"It could be more widely used in daily clinical practice, aside from the Schirmer I test, to optimize the work-up of patients presenting with dry-eye subjective signs."
9956,1077,"Pulmonary arterial hypertension (PAH) is a rare complication, but a significant prognostic factor in patients with Sjgren's syndrome (SjS)."
9957,1077,"Despite its efficacy, the long-term use of intravenous epoprostenol is sometimes complicated by adverse effects, such as catheter-related infection."
9958,1077,This case involves a 38-year-old woman with PAH associated with SjS (PAH-SjS) who was transitioned from treatment with long-term intravenous epoprostenol therapy to combination oral therapy containing bosentan and tadalafil.
9959,1077,She has remained in stable condition for more than two years following epoprostenol discontinuation.
9960,1077,The details of this report suggest that long-term epoprostenol therapy can be safely tapered off and replaced with combination oral therapy in carefully selected patients with PAH-SjS.
9961,1078,"This study was conducted to generate and validate a cross-culturally adapted Korean version of the xerostomia inventory (XI), an 11-item questionnaire designed to measure the severity of xerostomia."
9962,1078,The original English version of the XI was translated into Korean according to the guidelines for cross-cultural adaptation of health-related quality-of-life measures.
9963,1078,"Among a prospective cohort of primary Sjgren's syndrome (pSS) in Korea, 194 patients were analyzed."
9964,1078,"Internal consistency was evaluated by using Cronbach's alpha, and test-retest reliability was obtained by using an intraclass correlation coefficient (ICC) analysis."
9965,1078,Construct validity was investigated by performing a correlation analysis between XI total score and salivary flow rate (SFR).
9966,1078,"Cronbach's alpha for internal consistency was 0.868, and the ICC for test-retest reliability ranged from 0.48 to 0.827, with a median value of 0.72."
9967,1078,"Moderate negative correlations between XI score and stimulated SFR, unstimulated SFR, and differential (stimulated minus unstimulated) SFR were observed (Spearman's rho,  = -0.515, -0.447, and -0.482, respectively; P < 0.001)."
9968,1078,"The correlation analysis between the visual analogue scale (VAS) score of overall dryness and SFR indicated a smaller  value (-0.235 [P = 0.006], -0.243 [P = 0.002], and -0.252 [P = 0.003], respectively), which supports that XI more accurately reflects the degree of xerostomia in the pSS patients."
9969,1078,"In conclusion, the Korean version of the XI is a reliable tool to estimate the severity of xerostomia in patients with pSS."
9970,1079,"OBJECTIVES: Impaired sleep and psychological disorders are increasingly recognised as prevalent comorbidities in patients with primary Sjgren's syndrome (pSS), as well as important contributors of atherosclerosis in the general population."
9971,1079,In the current study we sought to explore a potential role of psychological comorbidities in the pronounced atherosclerotic risk of pSS patients.
9972,1079,"METHODS: Fifty-nine pSS patients fulfilling the ACR/EULAR criteria completed specific validated questionnaires assessing fatigue, depression, anxiety and sleep disturbances."
9973,1079,"Clinical, laboratory and histopathological characteristics together with traditional risk factors for atherosclerosis were documented in all enrolled patients."
9974,1079,Subclinical atherosclerosis defined either as carotid and/or femoral plaque formation or increased intima media thickness (IMT) levels were assessed by Doppler ultrasound.
9975,1079,Univariate and multivariate analysis were performed.
9976,1079,RESULTS: Plaque formation and high IMT levels were detected by ultrasound in 41(69.5%) out of the 59 pSS patients.
9977,1079,"In univariate analysis, age and higher triglyceride serum levels were associated with both plaque formation and high IMT levels."
9978,1079,Hypertension was associated only with high IMT levels.
9979,1079,"While increased rates of both state anxiety and impaired sleep were detected in pSS patients with plaque formation in a univariate model, only impaired sleep proved to be independently associated with plaque formation among pSS patients (OR = 4.2, 95% CI =1.1-15.6, p=0.03)."
9980,1079,CONCLUSIONS: This is the first study showing impaired sleep to confer a significantly higher risk of subclinical atherosclerosis in patients with pSS.
9981,1079,Clinicians should take psychological disturbances into account when trying to assess and manage the cardiovascular disease risk of pSS patients.
9982,1080,Id3-/- mice represent a model for T cell mediated primary Sjogren's syndrome (PSS).
9983,1080,An intriguing feature of this disease model is the early appearance of impaired salivary function or exocrinopathy prior to lymphocytic infiltration of the salivary glands.
9984,1080,This phenomenon prompted us to examine the role of cytokines produced by T cells in the systemic regulation of gland function.
9985,1080,A comprehensive examination of serum cytokine profiles revealed elevated levels of IL-13 in Id3-/- mice.
9986,1080,We found that the increase in serum IL-13 levels in Id3-/- mice was largely dependent on  T cells.
9987,1080,"Removal of  T cells in Id3-/- mice also eliminates disease symptoms, including lymphocytic infiltration in the gland tissues, and impaired saliva production."
9988,1080,"We further show that the number of mast cells in the salivary glands of Id3-/- mice is significantly increased, in a trend inversely related to the saliva production."
9989,1080,This increase in the number of mast cells is also dependent on the presence of  T cells.
9990,1080,"Treatment of young Id3-/- mice with anti-IL-13 antibodies over a two-month period resulted in a reduction of both serum IL-13 levels and the number of mast cells in the salivary gland tissues, as well as correspondingly improved saliva production."
9991,1080,These findings indicate a potentially important role for IL-13 in gland regulation and disease pathology.
9992,1081,A known case of primary Sjogren's syndrome with chronic kidney disease presented with respiratory symptoms and subsequent altered sensorium.
9993,1081,Chest imaging suggested cavitating lung lesions in both the lungs.
9994,1081,Serum c-ANCA was positive without any upper respiratory tract involvement or active urinary sediments.
9995,1081,Treatment with appropriate anti-microbials produced no improvement in the respiratory or neurological parameters.
9996,1081,MRI brain revealed tell-tale signs of CNS vascultis.
9997,1081,A diagnosis of GPA was made as per European Medical Agency algorithm and the patient was started on immune-suppressants to which there was dramatic response.
9998,1081,Her respiratory and neurological parameters started recovering steadily.
9999,1081,However her stay at hospital was complicated by severe hospital acquired pneumonia to which she succumbed.
10000,1081,"We review the intricacies of the case, discussing the diagnostic conundrum and treatment dilemma we faced, as well as the systematic approach employed to manage the patient."
10001,1082,This study was set to investigate whether serum markers of lymphocytic activity are associated with patient-reported outcomes in Sjgren's syndrome (SS).
10002,1082,Forty-six patients with SS were included in this cross-sectional study.
10003,1082,"Patients with monoclonal gammopathy, history of malignant lymphoma, or with secondary SS were excluded."
10004,1082,"Serum levels of IgG, 2-microglobulin (2M), soluble interleukin-2 receptor (sIL2-R), and free light chains (FLC) were assessed."
10005,1082,Systemic disease activity was measured by the EULAR SS disease activity index (ESSDAI).
10006,1082,"Patient-reported symptoms were recorded by visual analogue scales (VAS) of pain, fatigue, and dryness, as compiled in the EULAR SS patient-reported index (ESSPRI)."
10007,1082,Depressive symptoms were determined by the Patient Health Questionnaire 9 (PHQ-9).
10008,1082,"Serum concentrations of FLC (r=0.491, p=0.001), FLC (r=0.326, p=0.027), and 2M (r=0.421, p=0.004) correlated with the ESSDAI, whereas sIL-2R and IgG did not."
10009,1082,"No correlations between serum markers of lymphocytic activity and the ESSPRI, or single VAS measures of pain, dryness, or fatigue, were found."
10010,1082,"In patients with VAS fatigue scores in the upper quartile, sIL-2R serum levels were even decreased (p=0.019)."
10011,1082,"Only depressive symptoms as determined by PHQ-9 were positively correlated with fatigue (r=0.536, p<0.001)."
10012,1082,"In this well-defined cohort of patients with SS, serological lymphocytic activity was not correlated with patient-reported outcomes and sIL-2R levels were even decreased in patients with high fatigue scores."
10013,1082,Only depressive symptoms were correlated with fatigue.
10014,1082,This highlights the need to further understand the link between inflammation and disease characteristics in SS.
10015,1083,"BACKGROUND: Musculoskeletal findings in Sjgren's syndrome are arthralgia, arthritis, myalgia, myositis, fibromyalgia, and chronic fatigue."
10016,1083,Enthesis zones are important in the formation of pain in the musculoskeletal system.
10017,1083,Musculoskeletal ultrasound (US) may show subclinical enthesitis in the synovial joints and in the axial skeleton before joint swelling in inflammatory diseases characterized by arthritis.
10018,1083,"OBJECTIVE: In this study, we aimed to determine the presence of enthesopathy using the Madrid sonographic enthesitis index (MASEI) in patients with primary Sjgren's syndrome (PSS)."
10019,1083,PATIENTS AND METHODS: Consecutive patients with PSS and age-matched healthy controls were included in this study.
10020,1083,All the patients met the 2002 American College of Rheumatology/European League against Rheumatism classification criteria for PSS.
10021,1083,The demographic characteristics of the patients were recorded.
10022,1083,"Six enthesis sites were evaluated using gray-scale and Doppler US with a linear transducer, and they were scored using the MASEI."
10023,1083,They were assessed by the EULAR Sjgren's syndrome disease activity index (ESSDAI).
10024,1083,RESULTS: We evaluated 40 patients with PSS (average age 48.6711.23years) and 30 healthy controls (average age 45.408.24years).
10025,1083,Patients with PSS had significantly higher MASEI scores than the healthy controls.
10026,1083,"Plantar fascia, Achilles tendon, and distal patellar tendons were significantly thicker in the PSS group than in the healthy controls."
10027,1083,The MASEI total score had a positive correlation with age.
10028,1083,There was no correlation between MASEI total score and BMI and ESSDAI.
10029,1083,"CONCLUSION: In this study, it was shown that the MASEI scores assessed by US were significantly higher in patients with PSS than in healthy controls."
10030,1083,"Plantar fascia, Achilles tendon, and distal patellar tendon were significantly thicker in the PSS group than in the healthy controls."
10031,1083,This result suggests that PSS may be one of the causes of musculoskeletal pain that can be seen in patients with PSS.
10032,1083,Our study was the first study to use an enthesis index ultrasonographically in patients with PSS.
10033,1083,"In addition, it is the first study to investigate the relationship between the presence of enthesopathy and disease activity by means of US."
10034,1084,Sjgren's syndrome (SS) is a chronic autoimmune disease characterized by lymphocytic infiltration of salivary and lacrimal glands resulting in diminished production of saliva and tears.
10035,1084,The pathophysiology of SS has not yet been fully deciphered.
10036,1084,Classically it has been postulated that sicca symptoms in SS patients are a double step process whereby lymphocytic infiltration of lacrimal and salivary glands (SG) is followed by epithelial cell destruction resulting in keratoconjunctivitis sicca and xerostomia.
10037,1084,"Recent advances in the field of the pathophysiology of SS have brought in new players, such as aquaporins (AQPs) and anti AQPs autoantibodies that could explain underlying mechanistic processes and unveil new pathophysiological pathways offering a deeper understanding of the disease."
10038,1084,"In this review, we delineate the link between the AQP and SS, focusing on salivary glands, and discuss the role of AQPs in the treatment of SS-induced xerostomia."
10039,1085,"OBJECTIVES: To evaluate volumetric BMD (vBMD), microarchitecture and strength and vertebral fractures (VFs) in primary SS (pSS)."
10040,1085,"METHODS: We evaluated 71 female pSS patients and 71 gender-, age-, and race-matched controls."
10041,1085,Clinical data including risk factors for osteoporosis (OP) and fractures were collected through a standardized protocol.
10042,1085,Areal BMD and VFs were analysed by DXA.
10043,1085,"Bone microarchitecture, vBMD and bone strength were assessed by high-resolution peripheral quantitative CT (HR-pQCT), a non-invasive method."
10044,1085,"RESULTS: pSS patients and controls were comparable for age, BMI, calcium intake, smoking, menopause, sedentary lifestyle and family history of fractures (P > 0.05)."
10045,1085,OP or low BMD for the patient's age (33.8 vs 5.6%; P < 0.0001) and VFs (19.7 vs 5.6%; P = 0.043) were more frequent in patients than controls.
10046,1085,"HR-pQCT showed deterioration of cortical and trabecular components and strength at the radius, and of cortical components and strength at the tibia (P < 0.05) in patients compared with controls."
10047,1085,"pSS patients and controls were also analysed by multivariate analysis adjusted for age, ethnicity, prednisone use, weight and height, which showed that the pSS group had lower values of cortical vBMD, cortical thickness and apparent modulus (P < 0.05) at the radius and cortical vBMD and apparent modulus (P < 0.05) at the tibia."
10048,1085,Patients with VFs had more cortical bone deterioration (cortical vBMD/cortical thickness) at the tibia compared with patients without VFs (P < 0.05).
10049,1085,CONCLUSIONS: This study was the first to assess bone microarchitecture in pSS and demonstrated that cortical deterioration is the most important abnormality observed in pSS patients with VFs.
10050,1085,"This novel finding shows that this compartment contributes to vertebral fragility, suggesting that this non-invasive evaluation may be useful in the clinical practice."
10051,1086,OBJECTIVE: To investigate cognitive deficits in patients with primary Sjgren's syndrome (PSS).
10052,1086,"METHOD: Eighteen patients with PSS, aged between 25 and 61 years, were subjected to a short neuropsychological battery and compared with 18 patients with multiple sclerosis and 18 healthy controls."
10053,1086,"RESULTS: The analysis of variance (ANOVA) revealed that the clinical groups had significantly worse performance than the control group on the Rey Auditory Verbal Learning Test 3; (F(2,53) =3.500, p=0.038) and 7 (F(2,53) =5.068, p=0.010)."
10054,1086,The clinical groups had elevated levels of depression on the Beck Depression Inventory (BDI); (p=0.003).
10055,1086,The analysis of the data from the Trail Making Test B-A revealed a significant difference between the clinical and control groups (p=0.023).
10056,1086,"The analysis of covariance with BDI score as a covariate, did not change the outcome."
10057,1086,CONCLUSION: Our study revealed cognitive deficits in patients with PSS detectable by a short neuropsychological battery.
10058,1087,We visualized the intraparotid facial nerve and parotid duct at 3 tesla using 3-dimensional reversed fast imaging with steady-state precession (FSIP) (3D-PSIF) with diffusion weighting.
10059,1087,"Excellent fat suppression by water-selective excitation, sufficient T(2)-weighting of 3D-PSIF, vessel suppression by diffusion weighting, and high spatial resolution allowed the simultaneous visualization."
10060,1087,We also present volumetric representation of the facial nerve and duct.
10061,1088,"OBJECTIVES: To assess the sleep quality in primary Sjgren's syndrome (pSS) patients and evaluate its relationship with the disease, quality of life and mood disorders."
10062,1088,METHODS: The sleep quality of 29 pSS women and 29 matched controls was assessed by the Pittsburgh Sleep Quality Index (PSQI).
10063,1088,"Seven domains are grouped according to three factors: F1 perceived sleep quality (subjective sleep quality, sleep latency, use of sleeping medication), F2 sleep efficiency (sleep duration, habitual sleep efficiency) and F3 daily disturbances (sleep disturbances, daytime dysfunction)."
10064,1088,These domains are scored as a single factor of global sleep quality.
10065,1088,"The Short Form Health Survey (SF-36), Functional Assessment of Chronic Illness Therapy (FACIT) fatigue scale and Hospital Anxiety and Depression Scale (HADS) were also administered."
10066,1088,"Disease activity and damage were evaluated with the EULAR Sjgren's syndrome disease activity index (ESSDAI), the Sjgren's Syndrome Disease Activity and Damage Indexes (SSDAI, SSDDI)."
10067,1088,RESULTS: The mean PSQI global score had higher pathological values (8.64.6) compared with controls (5.62.2) (p=0.002).
10068,1088,"F1 and F3 were significantly worse in cases (p=0.01, p=0.009)."
10069,1088,"A negative correlation was found between SF-36 subscales and the global PSQI, F2 and F3."
10070,1088,"The anxiety HADS correlated with F2 and F3, while depression only with F3."
10071,1088,No correlation with FACIT and disease indexes emerged.
10072,1088,"CONCLUSIONS: Using PSQI, an impaired sleep quality was demonstrated in pSS patients, especially with perceived quality and the daily disturbances."
10073,1088,It is associated with a reduced quality of life but not with disease-related variables.
10074,1089,"OBJECTIVE: In daily practice, we noticed that hand osteoarthritis (OA) was commonly associated with primary Sjgren syndrome (pSS)."
10075,1089,"Therefore, we aimed to investigate its prevalence in patients with pSS in a controlled study."
10076,1089,METHODS: The study included patients with pSS and controls with systemic lupus erythematosus (SLE).
10077,1089,Standard hand/wrist radiographs were obtained and classified according to the Kellgren-Lawrence system.
10078,1089,"""Erosive hand OA"" was defined according to the Verbruggen-Veys classification."
10079,1089,"RESULTS: There were 114 patients with pSS (110 women, 51.0 yrs) and 34 patients with SLE (33 women, 42.4 yrs)."
10080,1089,"Among 114 patients with pSS, 42.7% had radiographic, 30.3% symptomatic, and 16.0% erosive hand OA."
10081,1089,"The prevalences of radiographic (45.5%) and erosive hand OA (14.4%) in 90 patients with pSS with age- and sex-matched patients with SLE were significantly higher than those in patients with SLE (14.7% and 0.0%, p = 0.007 and p = 0.012, respectively)."
10082,1089,"Interobserver reliabilities for diagnosing radiographic and erosive OA were found to be good ( = 0.780 and  = 0.788, respectively)."
10083,1089,"Intraobserver reliabilities for diagnosing radiographic and erosive OA were also good ( = 0.784 and  = 0.825 for FO, and  = 0.722 and  = 0.800 for AB, respectively)."
10084,1089,The frequency of hand OA in patients with pSS was found to be increased with increasing age (r = 0.513).
10085,1089,The mean age of those with erosive hand OA was significantly higher than those without erosive OA (p < 0.001).
10086,1089,"CONCLUSION: This study suggests that pSS, conversely to SLE, is more frequently associated with hand OA."
10087,1090,OBJECTIVE: The aim of this study was to compare the prevalence of neurological complications related to lip biopsy for SS diagnosis using conventional vs minimally invasive techniques.
10088,1090,"METHODS: We performed a systematic review and prevalence meta-analysis using the search strategy [(salivary gland biopsy OR labial biopsy OR lip biopsy) AND (Sjgren)] in the MEDLINE, EMBASE and Web of Science Conference Proceedings Citation Index databases."
10089,1090,"Studies were selected if they included original data for minor salivary gland biopsy, sample size, exposure of interest (technique description), number of complications and number of affected patients."
10090,1090,The prevalence of total and permanent neurological adverse effects was calculated.
10091,1090,Both fixed-effects and random-effects pooled estimates were assessed.
10092,1090,Heterogeneity was calculated using an adaptation of the DerSimonian and Laird Q test.
10093,1090,RESULTS: Sixteen articles were selected for the study.
10094,1090,"In the minimally invasive group (n = 3), the pooled prevalence of total adverse events is almost four times higher than that in the linear incision group (n = 12) (4.73% vs. 1.20%)."
10095,1090,"In contrast, the pooled prevalence of the permanent or potentially permanent neurological adverse events is 8.5 times lower in the minimally invasive technique group than in the studies using linear incisions (0.17% vs. 1.45%)."
10096,1090,"CONCLUSION: With the limitations intrinsic to the potential biases in the studies included in this meta-analysis, we conclude that the minimally invasive lip biopsy technique for SS diagnosis induces fewer permanent neurological complications than conventional approaches with large linear incisions in the lower lip."
10097,1091,OBJECTIVE: To evaluate the presence of cardiovascular involvement and analyze potential risk factors independently associated with cardiovascular involvement in primary Sjgren's syndrome (PSS) patients.
10098,1091,METHODS: We recruited a cohort of 367 PSS patients and 367 age- and gender-matched controls from the First Affiliated Hospital of Wenzhou Medical University.
10099,1091,"Demographic, clinical and laboratory data, and overt cardiovascular involvement events were recorded."
10100,1091,Potential risk factors associated with cardiovascular involvement were determined by multivariate analyses.
10101,1091,RESULTS: PSS patients had a significantly higher cardiovascular involvement rate than that of the controls (61.6% versus 29.7%; p<0.01).
10102,1091,"Compared with PSS patients without cardiovascular involvement, those with cardiovascular involvement were significantly older; had higher rates of hypertension, diabetes, hypoalbuminemia, and hyperlipemia; were more likely to have extraglandular organ involvement; and had a higher level of C-reactive protein (CRP) (all p<0.05)."
10103,1091,"In the multivariate analysis, age, hypertension, and extraglandular organ involvement were found to be risk factors independently correlated with cardiovascular events in PSS patients."
10104,1091,CONCLUSIONS: PSS patients are more vulnerable to cardiovascular diseases (CVDs).
10105,1091,"In addition to traditional CVD risk factors such as age and hypertension, extraglandular organ involvement was found to be independently associated with cardiovascular involvement in PSS patients, which suggests the need for early detection and prevention measures to improve the prognosis in those patients."
10106,1092,PURPOSE: To evaluate the effect of lid debridement-scaling (LDS) on dry eye signs and symptoms in subjects with Sjgren syndrome (SS).
10107,1092,METHODS: This prospective randomized controlled study enrolled 14 female subjects with SS.
10108,1092,Seven subjects were randomized into the treatment group where they were selected to receive LDS; the remainder did not receive LDS and served as control subjects.
10109,1092,"Lid debridement-scaling was conducted using a stainless steel golf club spud (Hilco Wilson Ophthalmics, Plainville, MA) on both the upper and lower eyelids of both eyes."
10110,1092,Outcome variables were assessed before LDS and again 1 month later.
10111,1092,"The outcome variables were the Ocular Surface Disease Index (OSDI), Symptom Assessment iN Dry Eye (SANDE) visual analog scores, ocular staining (SICCA OSS [Sjgren's International Collaborative Clinical Alliance Ocular Staining Score]), fluorescein tear breakup time (FLBUT), meibomian gland score (MGS), meibomian gland yielding liquid secretions (MGYLS) score, and line of Marx's (LOM) position."
10112,1092,RESULTS: Thirteen subjects completed the study.
10113,1092,Data from only the right eye were analyzed.
